team_id,name,short_name,country
arsenal,Arsenal,Arsenal,ENG
aston_villa,Aston Villa,Aston Villa,ENG
bournemouth,Bournemouth,Bournemouth,ENG
brentford,Brentford,Brentford,ENG
brighton,Brighton & Hove Albion,Brighton,ENG
burnley,Burnley,Burnley,ENG
cardiff,Cardiff City,Cardiff,ENG
chelsea,Chelsea,Chelsea,ENG
coventry,Coventry City,Coventry,ENG
crystal_palace,Crystal Palace,Palace,ENG
everton,Everton,Everton,ENG
fulham,Fulham,Fulham,ENG
huddersfield,Huddersfield Town,Huddersfield,ENG
hull,Hull City,Hull,ENG
ipswich,Ipswich Town,Ipswich,ENG
leeds,Leeds United,Leeds,ENG
leicester,Leicester City,Leicester,ENG
liverpool,Liverpool,Liverpool,ENG
luton,Luton Town,Luton,ENG
man_city,Manchester City,Man City,ENG
man_united,Manchester United,Man United,ENG
middlesbrough,Middlesbrough,Boro,ENG
newcastle,Newcastle United,Newcastle,ENG
norwich,Norwich City,Norwich,ENG
nottm_forest,Nottingham Forest,Forest,ENG
sheffield_united,Sheffield United,Sheff Utd,ENG
southampton,Southampton,Southampton,ENG
stoke,Stoke City,Stoke,ENG
sunderland,Sunderland,Sunderland,ENG
swansea,Swansea City,Swansea,ENG
tottenham,Tottenham Hotspur,Tottenham,ENG
watford,Watford,Watford,ENG
west_brom,West Bromwich Albion,West Brom,ENG
west_ham,West Ham United,West Ham,ENG
wolves,Wolverhampton Wanderers,Wolves,ENG
alaves,Deportivo Alavés,Alavés,ESP
almeria,UD Almería,Almería,ESP
athletic_bilbao,Athletic Club,Athletic,ESP
atletico_madrid,Atlético Madrid,Atlético,ESP
barcelona,Barcelona,Barcelona,ESP
real_betis,Real Betis,Betis,ESP
cadiz,Cádiz,Cádiz,ESP
celta_vigo,Celta Vigo,Celta,ESP
eibar,Eibar,Eibar,ESP
elche,Elche,Elche,ESP
espanyol,Espanyol,Espanyol,ESP
getafe,Getafe,Getafe,ESP
girona,Girona,Girona,ESP
granada,Granada,Granada,ESP
huesca,Huesca,Huesca,ESP
deportivo_la_coruna,Deportivo La Coruña,Deportivo,ESP
las_palmas,Las Palmas,Las Palmas,ESP
leganes,Leganés,Leganés,ESP
levante,Levante,Levante,ESP
malaga,Málaga,Málaga,ESP
mallorca,Mallorca,Mallorca,ESP
osasuna,Osasuna,Osasuna,ESP
real_oviedo,Real Oviedo,Oviedo,ESP
real_madrid,Real Madrid,Real Madrid,ESP
racing_santander,Racing Santander,Racing,ESP
sevilla,Sevilla,Sevilla,ESP
real_sociedad,Real Sociedad,Sociedad,ESP
sporting_gijon,Sporting Gijón,Sporting,ESP
valencia,Valencia,Valencia,ESP
valladolid,Real Valladolid,Valladolid,ESP
rayo_vallecano,Rayo Vallecano,Rayo,ESP
villarreal,Villarreal,Villarreal,ESP
