team_id,title
alaves,Deportivo Alavés
arsenal,Arsenal F.C.
aston_villa,Aston Villa F.C.
athletic_bilbao,Athletic Bilbao
atletico_madrid,Atlético Madrid
barcelona,FC Barcelona
bournemouth,AFC Bournemouth
brentford,Brentford F.C.
brighton,Brighton & Hove Albion F.C.
celta_vigo,RC Celta de Vigo
chelsea,Chelsea F.C.
coventry,Coventry City F.C.
crystal_palace,Crystal Palace F.C.
deportivo_la_coruna,Deportivo de La Coruña
elche,Elche CF
espanyol,RCD Espanyol
everton,Everton F.C.
fulham,Fulham F.C.
getafe,Getafe CF
hull,Hull City A.F.C.
ipswich,Ipswich Town F.C.
leeds,Leeds United F.C.
levante,Levante UD
liverpool,Liverpool F.C.
malaga,Málaga CF
man_city,Manchester City F.C.
man_united,Manchester United F.C.
newcastle,Newcastle United F.C.
nottm_forest,Nottingham Forest F.C.
osasuna,CA Osasuna
racing_santander,Racing de Santander
rayo_vallecano,Rayo Vallecano
real_betis,Real Betis
real_madrid,Real Madrid CF
real_sociedad,Real Sociedad
sevilla,Sevilla FC
sunderland,Sunderland A.F.C.
tottenham,Tottenham Hotspur F.C.
valencia,Valencia CF
villarreal,Villarreal CF
